user_id,birthday,gender,birth,birth_year,birth_month
2757,20130311.0,1.0,2013-03-11,2013,3
415971,20121111.0,0.0,2012-11-11,2012,11
1372572,20120130.0,1.0,2012-01-30,2012,1
10339332,20110910.0,0.0,2011-09-10,2011,9
10642245,20130213.0,0.0,2013-02-13,2013,2
10923201,20110830.0,1.0,2011-08-30,2011,8
11768880,20120107.0,1.0,2012-01-07,2012,1
12519465,20130705.0,1.0,2013-07-05,2013,7
12950574,,0.0,2009-07-08,2009,7
13735440,20120323.0,0.0,2012-03-23,2012,3
14510892,20140812.0,1.0,2014-08-12,2014,8
14905422,20110429.0,1.0,2011-04-29,2011,4
15786531,,0.0,2008-09-22,2008,9
16265490,,0.0,2009-12-09,2009,12
17431245,20110115.0,0.0,2011-01-15,2011,1
18190851,20110101.0,0.0,2011-01-01,2011,1
20087991,20100808.0,0.0,2010-08-08,2010,8
20570454,,1.0,2008-10-17,2008,10
21137271,20110204.0,1.0,2011-02-04,2011,2
21415917,,1.0,2006-08-01,2006,8
21887268,20100526.0,0.0,2010-05-26,2010,5
22602471,,1.0,2009-06-01,2009,6
23208537,,1.0,2008-04-16,2008,4
23927133,,0.0,2008-10-29,2008,10
24829944,20140826.0,1.0,2014-08-26,2014,8
25807593,20141122.0,1.0,2014-11-22,2014,11
26629842,20131124.0,0.0,2013-11-24,2013,11
27213666,,0.0,2008-04-13,2008,4
30595206,,0.0,2007-09-18,2007,9
31235454,20110319.0,0.0,2011-03-19,2011,3
31795068,,0.0,2007-11-24,2007,11
33062883,20100814.0,1.0,2010-08-14,2010,8
34582044,20121101.0,0.0,2012-11-01,2012,11
34911780,20100302.0,1.0,2010-03-02,2010,3
35831517,20110708.0,0.0,2011-07-08,2011,7
37273026,20120212.0,1.0,2012-02-12,2012,2
38061660,20111203.0,1.0,2011-12-03,2011,12
40305507,20111017.0,1.0,2011-10-17,2011,10
41643429,20140322.0,1.0,2014-03-22,2014,3
42687654,,1.0,2009-05-15,2009,5
43241697,20120512.0,0.0,2012-05-12,2012,5
44716356,20130211.0,0.0,2013-02-11,2013,2
46013049,20140408.0,1.0,2014-04-08,2014,4
46951908,,1.0,2009-12-17,2009,12
47742510,20140727.0,0.0,2014-07-27,2014,7
48655521,20110101.0,0.0,2011-01-01,2011,1
49167150,20130818.0,,2013-08-18,2013,8
49983255,20140206.0,,2014-02-06,2014,2
50238258,20101206.0,1.0,2010-12-06,2010,12
51103674,20110817.0,0.0,2011-08-17,2011,8
51880578,20110107.0,0.0,2011-01-07,2011,1
52529655,20130611.0,,2013-06-11,2013,6
52744851,20120822.0,1.0,2012-08-22,2012,8
53433471,20120903.0,1.0,2012-09-03,2012,9
54855720,20130128.0,0.0,2013-01-28,2013,1
55875510,20120803.0,0.0,2012-08-03,2012,8
56663970,,1.0,2009-11-16,2009,11
57494340,20140518.0,0.0,2014-05-18,2014,5
57711375,20130420.0,,2013-04-20,2013,4
58199199,20110702.0,0.0,2011-07-02,2011,7
58463787,20100928.0,1.0,2010-09-28,2010,9
59069103,,0.0,2006-04-13,2006,4
59596068,20130428.0,1.0,2013-04-28,2013,4
60387171,20130216.0,1.0,2013-02-16,2013,2
61079421,20130501.0,1.0,2013-05-01,2013,5
61620681,20130308.0,0.0,2013-03-08,2013,3
62879667,20111205.0,0.0,2011-12-05,2011,12
64343163,20100123.0,1.0,2010-01-23,2010,1
65312343,,1.0,2009-06-27,2009,6
66248748,20120908.0,0.0,2012-09-08,2012,9
66755460,20110307.0,1.0,2011-03-07,2011,3
67443207,,0.0,2008-01-01,2008,1
67985523,20120713.0,0.0,2012-07-13,2012,7
69057729,20110105.0,1.0,2011-01-05,2011,1
69435486,20120821.0,1.0,2012-08-21,2012,8
70069665,20100415.0,0.0,2010-04-15,2010,4
70835010,20140522.0,0.0,2014-05-22,2014,5
71726532,20110515.0,0.0,2011-05-15,2011,5
72231900,20110221.0,0.0,2011-02-21,2011,2
72746697,20140222.0,1.0,2014-02-22,2014,2
73291425,20100628.0,0.0,2010-06-28,2010,6
74459175,20130309.0,0.0,2013-03-09,2013,3
75343881,20120225.0,0.0,2012-02-25,2012,2
75613245,20111122.0,1.0,2011-11-22,2011,11
76580427,20120307.0,1.0,2012-03-07,2012,3
77933013,20100702.0,1.0,2010-07-02,2010,7
78375309,20130322.0,1.0,2013-03-22,2013,3
78962691,20130218.0,0.0,2013-02-18,2013,2
80014536,20120615.0,1.0,2012-06-15,2012,6
80512596,20130208.0,0.0,2013-02-08,2013,2
81793389,20130904.0,0.0,2013-09-04,2013,9
82783545,20140416.0,1.0,2014-04-16,2014,4
83472357,20130120.0,1.0,2013-01-20,2013,1
84835944,20111008.0,0.0,2011-10-08,2011,10
86731623,20131226.0,0.0,2013-12-26,2013,12
87659835,20110930.0,1.0,2011-09-30,2011,9
88290456,,0.0,2009-01-18,2009,1
89520261,,0.0,1984-06-16,1984,6
91177545,20100203.0,0.0,2010-02-03,2010,2
92116962,20120526.0,1.0,2012-05-26,2012,5
93332442,20111102.0,0.0,2011-11-02,2011,11
94472106,,0.0,2009-11-05,2009,11
95428725,20120331.0,0.0,2012-03-31,2012,3
96476817,20120813.0,0.0,2012-08-13,2012,8
97489185,20140429.0,1.0,2014-04-29,2014,4
98246781,20120618.0,1.0,2012-06-18,2012,6
99665637,20130926.0,,2013-09-26,2013,9
102088293,20130525.0,1.0,2013-05-25,2013,5
105361095,20130116.0,1.0,2013-01-16,2013,1
106828323,20140201.0,0.0,2014-02-01,2014,2
109404219,,0.0,2007-04-09,2007,4
111621945,20130809.0,1.0,2013-08-09,2013,8
113243127,20110226.0,0.0,2011-02-26,2011,2
114558810,,0.0,2008-09-14,2008,9
115930791,20130519.0,0.0,2013-05-19,2013,5
116466705,20130101.0,0.0,2013-01-01,2013,1
118300134,20110503.0,0.0,2011-05-03,2011,5
119784861,20120327.0,0.0,2012-03-27,2012,3
123044613,20111210.0,1.0,2011-12-10,2011,12
124527924,20110930.0,1.0,2011-09-30,2011,9
126581934,20110519.0,0.0,2011-05-19,2011,5
127931487,20120703.0,0.0,2012-07-03,2012,7
130211481,,0.0,2008-12-09,2008,12
131021484,,0.0,2009-10-08,2009,10
132357204,20111125.0,1.0,2011-11-25,2011,11
133595268,20110919.0,1.0,2011-09-19,2011,9
136997100,20130113.0,1.0,2013-01-13,2013,1
138180945,,0.0,2008-09-28,2008,9
139924698,20120117.0,1.0,2012-01-17,2012,1
141595593,,0.0,2008-12-22,2008,12
143220732,,1.0,2008-12-16,2008,12
150404943,,0.0,2005-06-18,2005,6
151742451,20140121.0,,2014-01-21,2014,1
