user_id,auction_id,cat_id,cat1,property,buy_mount,day,trade_year,trade_month,weekday,buy_mount_winsor,<property object at 0x000002C1C74567F0>,birthday,gender,birth,birth_year,birth_month
513441334,19909384116,50010557,50008168,25935:21991;1628665:29784;22019:34731;22019:2026;22019:50793479;22019:3287412;22019:3377924;32047:93471;1627368:3218565;1627349:11462;1628432:106664;13394971:3269223;3988915:104912;2904342:30905,1,2012-12-12,2012,12,2,1,25935:21991;1628665:29784;22019:34731;22019:2026;22019:50793479;22019:3287412;22019:3377924;32047:93471;1627368:3218565;1627349:11462;1628432:106664;13394971:3269223;3988915:104912;2904342:30905,20110105.0,1.0,2011-01-05,2011,1
377550424,15771663914,50015841,28,1628665:3233941;1628665:3233942;3914866:11580;11684888:104528258,1,2012-11-23,2012,11,4,1,1628665:3233941;1628665:3233942;3914866:11580;11684888:104528258,20110620.0,1.0,2011-06-20,2011,6
47342027,14066344263,50013636,50008168,21458:21599;13585028:3416646;1628665:3233942;1628665:29790;1628665:3233938;25935:21990;32047:93471;22019:3265977;22019:3340598;22019:3284610;22019:34731;22135:31412;1628366:30916;8151548:29800;13529746:21983;13529646:117906617;13394971:30993;22022:110150624;13539026:117942785,1,2012-09-11,2012,9,1,1,21458:21599;13585028:3416646;1628665:3233942;1628665:29790;1628665:3233938;25935:21990;32047:93471;22019:3265977;22019:3340598;22019:3284610;22019:34731;22135:31412;1628366:30916;8151548:29800;13529746:21983;13529646:117906617;13394971:30993;22022:110150624;13539026:117942785,20101008.0,1.0,2010-10-08,2010,10
119784861,20796936076,50140021,50008168,21458:120325094;22019:2026;22019:34731;22019:3265977;22019:3287412;22019:3340598;22019:50793479;22185:21991;22334:30916;30640:93470;1628385:114518;1628665:23420;1628665:23423;1628665:23424;1628665:29784;1628665:3233938;8151548:29806;13395135:109080;1633959:3757818,1,2012-11-29,2012,11,3,1,21458:120325094;22019:2026;22019:34731;22019:3265977;22019:3287412;22019:3340598;22019:50793479;22185:21991;22334:30916;30640:93470;1628385:114518;1628665:23420;1628665:23423;1628665:23424;1628665:29784;1628665:3233938;8151548:29806;13395135:109080;1633959:3757818,20120327.0,0.0,2012-03-27,2012,3
159129426,15198386301,50013711,50008168,21458:11580;1628665:29778;22019:3340598;22019:34731;22019:2026;22019:50793479;22019:3287412;23181:131777;35779:131776;1628366:30915;25935:21991;8151548:29800;13394971:31377;13395135:30910,2,2012-08-08,2012,8,2,2,21458:11580;1628665:29778;22019:3340598;22019:34731;22019:2026;22019:50793479;22019:3287412;23181:131777;35779:131776;1628366:30915;25935:21991;8151548:29800;13394971:31377;13395135:30910,20100825.0,0.0,2010-08-25,2010,8
645596397,20115324762,50010549,50008168,21458:11580;25935:31381;1628665:3233942;1628665:31614;1628665:3233938;1628665:82340;1628665:29784;22019:31001;22019:3261251;32047:93471;1628348:11468;1627349:114518;3988915:104912;13394971:31379;8151548:29800;13395135:114477;2919054:55366;1633959:183819713,1,2012-11-30,2012,11,4,1,21458:11580;25935:31381;1628665:3233942;1628665:31614;1628665:3233938;1628665:82340;1628665:29784;22019:31001;22019:3261251;32047:93471;1628348:11468;1627349:114518;3988915:104912;13394971:31379;8151548:29800;13395135:114477;2919054:55366;1633959:183819713,20130220.0,0.0,2013-02-20,2013,2
757254614,35900705534,50013711,50008168,1628665:29798;1628665:29785;22019:3284610;22019:125938;22019:3238422;22019:3251926;22019:3263874;23181:31426;35779:131771;1628366:30916;25935:21991;8151548:29800;13394971:31377;13395135:30912;21458:97198646;1633959:43714,1,2013-12-20,2013,12,4,1,1628665:29798;1628665:29785;22019:3284610;22019:125938;22019:3238422;22019:3251926;22019:3263874;23181:31426;35779:131771;1628366:30916;25935:21991;8151548:29800;13394971:31377;13395135:30912;21458:97198646;1633959:43714,,0.0,2009-05-28,2009,5
275261625,23062392785,50010558,50008168,25935:21991;1628665:3233941;22019:3284610;22019:125938;22019:3238422;22019:3251926;22019:3263874;32047:93470;1628348:11468;3079382:29641137;8151548:29800;1627349:3227750;1628366:32799;13394971:3086;3988915:7197959;13395135:30910;13399649:3315982,1,2013-06-10,2013,6,0,1,25935:21991;1628665:3233941;22019:3284610;22019:125938;22019:3238422;22019:3251926;22019:3263874;32047:93470;1628348:11468;3079382:29641137;8151548:29800;1627349:3227750;1628366:32799;13394971:3086;3988915:7197959;13395135:30910;13399649:3315982,20100525.0,0.0,2010-05-25,2010,5
35832151,19178578964,50012451,50008168,1628665:3233942;1628665:3233939;1628665:92012;1628665:29790;1628665:31614;1628665:3233940;1628665:3233936;1628665:29778;1628665:3233938;1628665:82340;1628665:29787;1628665:29784;1628665:29793;1628665:131622;1628665:29796;1628665:133527;1628665:108579;1628665:29785;1628665:29799;122217801:31001;122217801:3275004;122217801:3261251;122217801:3238327;122217801:3228688;122217801:3265977;122217801:3248884;122217801:50793479;22009:29800;122217803:3290137;21477:4069612;25935:31381;21458:54607597,1,2014-02-28,2014,2,4,1,1628665:3233942;1628665:3233939;1628665:92012;1628665:29790;1628665:31614;1628665:3233940;1628665:3233936;1628665:29778;1628665:3233938;1628665:82340;1628665:29787;1628665:29784;1628665:29793;1628665:131622;1628665:29796;1628665:133527;1628665:108579;1628665:29785;1628665:29799;122217801:31001;122217801:3275004;122217801:3261251;122217801:3238327;122217801:3228688;122217801:3265977;122217801:3248884;122217801:50793479;22009:29800;122217803:3290137;21477:4069612;25935:31381;21458:54607597,,1.0,2009-04-01,2009,4
1834895775,43246645145,50010544,50008168,21458:159383086;13023209:125784;25935:31381;1628665:29784;1628665:92012;1628665:29798;1628665:3233942;1628665:3233938;1628665:3233936;122217801:3265977;122217801:3340598;122217801:34731;32047:93471;1628348:3229645;122218020:46055;33069:29447291;22121:31004;22066:29563;22009:29813;22061:14033338;13510285:3450338;6863019:3269152,1,2015-01-02,2015,1,4,1,21458:159383086;13023209:125784;25935:31381;1628665:29784;1628665:92012;1628665:29798;1628665:3233942;1628665:3233938;1628665:3233936;122217801:3265977;122217801:3340598;122217801:34731;32047:93471;1628348:3229645;122218020:46055;33069:29447291;22121:31004;22066:29563;22009:29813;22061:14033338;13510285:3450338;6863019:3269152,,0.0,2009-05-15,2009,5
131021484,15647837835,50006602,50008168,30497:46155;30498:46160;1628665:3233941;1628665:3233942;1628665:3233939;1628665:92012;1628324:3473865;1628366:32799;25935:31381,1,2012-09-10,2012,9,0,1,30497:46155;30498:46160;1628665:3233941;1628665:3233942;1628665:3233939;1628665:92012;1628324:3473865;1628366:32799;25935:31381,,0.0,2009-10-08,2009,10
373726419,24033632962,50008727,50014815,21458:226235510;1633959:13105580;1628665:3233942;1628665:3233938;21479:110556,1,2013-08-02,2013,8,4,1,21458:226235510;1633959:13105580;1628665:3233942;1628665:3233938;21479:110556,20130828.0,0.0,2013-08-28,2013,8
31795068,20749016489,121394024,50008168,21458:108838;1628665:3233941;1628665:3233942;1628665:3233939;1628665:92012;1628665:29790;1628665:31614;1628665:61550;1628665:3233940;1628665:3233936;1628665:3233937;1628665:29798;1628665:29778;1628665:3233938;1628665:82340;1628665:29787;1628665:29784;1628665:29793;1628665:131622;1628665:29796;1628665:133527;1628665:108579;1628665:29785;1628665:29782;1628665:29799;122217801:3340598;122217801:34731;122217801:2026;122217801:50793479;122217801:3287412;122217801:3377924;122217801:2375;122217801:28232;22009:21671;122217803:30916;21477:4195556;25935:31381;13512069:117821971;21475:493281615;21475:20145005;21475:234713719;21475:493281617;21475:493281618;21475:493281619;13023209:193961752,1,2014-12-12,2014,12,4,1,21458:108838;1628665:3233941;1628665:3233942;1628665:3233939;1628665:92012;1628665:29790;1628665:31614;1628665:61550;1628665:3233940;1628665:3233936;1628665:3233937;1628665:29798;1628665:29778;1628665:3233938;1628665:82340;1628665:29787;1628665:29784;1628665:29793;1628665:131622;1628665:29796;1628665:133527;1628665:108579;1628665:29785;1628665:29782;1628665:29799;122217801:3340598;122217801:34731;122217801:2026;122217801:50793479;122217801:3287412;122217801:3377924;122217801:2375;122217801:28232;22009:21671;122217803:30916;21477:4195556;25935:31381;13512069:117821971;21475:493281615;21475:20145005;21475:234713719;21475:493281617;21475:493281618;21475:493281619;13023209:193961752,,0.0,2007-11-24,2007,11
